Armentières;59;32;25373
Cambrai;59;32;33349
Douai;59;32;40860
Dunkerque;59;32;89485
Lambersart;59;32;28027
Lille;59;32;236782
Marcq-en-Barœul;59;32;39697
Maubeuge;59;32;29995
Roubaix;59;32;96953
Tourcoing;59;32;98170
Valenciennes;59;32;44509
Villeneuve-d'Ascq;59;32;63085
Wattrelos;59;32;41570
Beauvais;60;32;57548
Compiègne;60;32;41660
Creil;60;32;36091
Alençon;61;28;27221
Arras;62;32;41973
Béthune;62;32;25753
Boulogne-sur-Mer;62;32;42293
Calais;62;32;75719
Hénin-Beaumont;62;32;26260
Lens;62;32;31080
Liévin;62;32;31337
Clermont-Ferrand;63;84;146112
Anglet;64;75;39995
Bayonne;64;75;51943
Biarritz;64;75;25518
Pau;64;75;79022
Tarbes;65;76;41862
Perpignan;66;76;123602
Haguenau;67;44;35024
Illkirch-Graffenstaden;67;44;27505
Schiltigheim;67;44;32024
Strasbourg;67;44;283515
Colmar;68;44;71445
Mulhouse;68;44;110468
Bron;69;84;41589
Caluire-et-Cuire;69;84;43546
Décines-Charpieu;69;84;28249
Lyon 1er Arrondissement;69;84;30423
Lyon 2e Arrondissement;69;84;30857
Lyon 3e Arrondissement;69;84;103506
Lyon 4e Arrondissement;69;84;36524
Lyon 5e Arrondissement;69;84;49998
Lyon 6e Arrondissement;69;84;52282
Lyon 7e Arrondissement;69;84;82651
Lyon 8e Arrondissement;69;84;85610
Lyon 9e Arrondissement;69;84;51313
Meyzieu;69;84;33351
Oullins;69;84;26838
Rillieux-la-Pape;69;84;30275
Saint-Priest;69;84;46153
Vaulx-en-Velin;69;84;48906
Vénissieux;69;84;65822
Villefranche-sur-Saône;69;84;37783
Villeurbanne;69;84;150375
Chalon-sur-Saône;71;27;47085
Mâcon;71;27;34448
Le Mans;72;52;146804
Aix-les-Bains;73;84;30377
Chambéry;73;84;60872
Annecy;74;84;130257
Annemasse;74;84;35461
Thonon-les-Bains;74;84;36296
Paris;75;11;2210875
Dieppe;76;28;30588
Le Grand-Quevilly;76;28;26175
Le Havre;76;28;172769
Rouen;76;28;112596
Saint-Étienne-du-Rouvray;76;28;29180
Sotteville-lès-Rouen;76;28;29766
Bussy-Saint-Georges;77;11;27299
Chelles;77;11;54682
Meaux;77;11;56249
Melun;77;11;41183
Pontault-Combault;77;11;38587
Savigny-le-Temple;77;11;30352
Villeparisis;77;11;26507
Chatou;78;11;31653
Le Chesnay;78;11;28558
Conflans-Sainte-Honorine;78;11;36058
Élancourt;78;11;25829
Guyancourt;78;11;28839
Houilles;78;11;32064
Mantes-la-Jolie;78;11;44231
Montigny-le-Bretonneux;78;11;33535
Les Mureaux;78;11;32777
Plaisir;78;11;32128
Poissy;78;11;37524
Rambouillet;78;11;26781
Saint-Germain-en-Laye;78;11;41749
Sartrouville;78;11;53237
Trappes;78;11;32931
Versailles;78;11;87315
Niort;79;75;61044
Amiens;80;32;136998
Albi;81;76;51151
Castres;81;76;42923
Montauban;82;76;61978
Draguignan;83;93;40928
Fréjus;83;93;54023
La Garde;83;93;25645
Hyères;83;93;56799
Saint-Raphaël;83;93;35826
La Seyne-sur-Mer;83;93;65386
Six-Fours-les-Plages;83;93;33904
Toulon;83;93;171643
Avignon;84;93;94200
Carpentras;84;93;29498
Cavaillon;84;93;26985
Orange;84;93;29856
La Roche-sur-Yon;85;52;56991
Châtellerault;86;75;32887
Poitiers;86;75;90590
Limoges;87;75;135140
Épinal;88;44;33454
Auxerre;89;27;36804
Sens;89;27;26688
Belfort;90;27;49926
Athis-Mons;91;11;34065
Brétigny-sur-Orge;91;11;26702
Brunoy;91;11;26520
Corbeil-Essonnes;91;11;51682
Draveil;91;11;29558
Évry;91;11;55425
Grigny;91;11;29118
Massy;91;11;50549
Palaiseau;91;11;34954
Ris-Orangis;91;11;29040
Sainte-Geneviève-des-Bois;91;11;36219
Savigny-sur-Orge;91;11;36677
Les Ulis;91;11;25031
Vigneux-sur-Seine;91;11;31488
Viry-Châtillon;91;11;30962
Yerres;91;11;29132
Antony;92;11;62989
Asnières-sur-Seine;92;11;86678
Bagneux;92;11;39977
Bois-Colombes;92;11;28607
Boulogne-Billancourt;92;11;120943
Châtenay-Malabry;92;11;33413
Châtillon;92;11;37132
Clamart;92;11;53099
Clichy;92;11;60746
Colombes;92;11;86050
Courbevoie;92;11;82351
La Garenne-Colombes;92;11;29503
Gennevilliers;92;11;46939
Issy-les-Moulineaux;92;11;69231
Levallois-Perret;92;11;64028
Malakoff;92;11;30286
Meudon;92;11;46014
Montrouge;92;11;49372
Nanterre;92;11;96321
Neuilly-sur-Seine;92;11;61501
Le Plessis-Robinson;92;11;29192
Puteaux;92;11;44941
Rueil-Malmaison;92;11;79783
Saint-Cloud;92;11;30797
Suresnes;92;11;49145
Vanves;92;11;28148
Aubervilliers;93;11;86533
Aulnay-sous-Bois;93;11;85214
Bagnolet;93;11;36047
Le Blanc-Mesnil;93;11;56346
Bobigny;93;11;52633
Bondy;93;11;53416
Clichy-sous-Bois;93;11;29978
La Courneuve;93;11;42712
Drancy;93;11;70883
Épinay-sur-Seine;93;11;55754
Gagny;93;11;39391
Livry-Gargan;93;11;44721
Montfermeil;93;11;26262
Montreuil;93;11;109235
Neuilly-sur-Marne;93;11;34859
Noisy-le-Grand;93;11;67086
Noisy-le-Sec;93;11;43693
Pantin;93;11;55585
Pierrefitte-sur-Seine;93;11;29728
Romainville;93;11;26640
Rosny-sous-Bois;93;11;45663
Saint-Denis;93;11;112309
Saint-Ouen;93;11;49949
Sevran;93;11;50888
Stains;93;11;39776
Tremblay-en-France;93;11;35866
Villemomble;93;11;30227
Villepinte;93;11;36809
Alfortville;94;11;44136
Cachan;94;11;30524
Champigny-sur-Marne;94;11;77883
Charenton-le-Pont;94;11;30793
Choisy-le-Roi;94;11;44781
Créteil;94;11;90052
Fontenay-sous-Bois;94;11;53968
Fresnes;94;11;27556
L' Haÿ-les-Roses;94;11;31416
Ivry-sur-Seine;94;11;61099
Le Kremlin-Bicêtre;94;11;25422
Limeil-Brévannes;94;11;26901
Maisons-Alfort;94;11;55816
Nogent-sur-Marne;94;11;32195
Le Perreux-sur-Marne;94;11;34017
Saint-Maur-des-Fossés;94;11;75833
Sucy-en-Brie;94;11;26575
Thiais;94;11;29295
Villejuif;94;11;55805
Villeneuve-Saint-Georges;94;11;33135
Villiers-sur-Marne;94;11;29407
Vincennes;94;11;50300
Vitry-sur-Seine;94;11;93317
Argenteuil;95;11;112064
Bezons;95;11;29216
Cergy;95;11;64451
Eaubonne;95;11;25514
Ermont;95;11;29400
Franconville;95;11;36349
Garges-lès-Gonesse;95;11;42821
Gonesse;95;11;26556
Goussainville;95;11;31167
Herblay;95;11;29614
Pontoise;95;11;31880
Sannois;95;11;27118
Sarcelles;95;11;58332
Taverny;95;11;26541
Villiers-le-Bel;95;11;27519
Les Abymes;971;01;54818
Baie-Mahault;971;01;31338
Le Gosier;971;01;27023
Fort-de-France;972;02;82030
Le Lamentin;972;02;40920
Cayenne;973;03;60947
Kourou;973;03;26726
Matoury;973;03;32768
Remire-Montjoly;973;03;26170
Saint-Laurent-du-Maroni;973;03;44130
Le Port;974;04;35141
La Possession;974;04;33337
Saint-André;974;04;56088
Saint-Benoît;974;04;38466
Saint-Denis;974;04;149337
Saint-Joseph;974;04;38167
Saint-Leu;974;04;34160
Saint-Louis;974;04;53832
Saint-Paul;974;04;106920
Saint-Pierre;974;04;85059
Sainte-Marie;974;04;33587
Le Tampon;974;04;78366
